05.07.2023; 15:41:29; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 15:34:27; 	Error: Failed to set get and/or set time. Backend, function in line: 683
05.07.2023; 15:32:07; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 15:32:07; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 15:29:16; 	Error: Failed to set get and/or set time. Backend, function in line: 683
05.07.2023; 15:28:09; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 15:28:09; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 15:27:23; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 15:27:23; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 15:24:26; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 15:24:26; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 15:20:21; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 15:20:21; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 15:20:01; 	Error: Failed to set get and/or set time. Backend, function in line: 683
05.07.2023; 15:16:16; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 15:16:16; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 15:15:57; 	Error: Failed to set get and/or set time. Backend, function in line: 683
05.07.2023; 15:14:48; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 15:14:48; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 15:14:29; 	Error: Failed to set get and/or set time. Backend, function in line: 683
05.07.2023; 15:12:58; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 15:12:58; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
05.07.2023; 15:12:21; 	Error: Failed to set get and/or set time. Backend, function in line: 683
05.07.2023; 15:10:38; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
05.07.2023; 15:10:38; 	Error: Failed to set GUI-parameters. Backend, function in line: 670
02.07.2023; 08:54:55; 	Error: Failed to set get and/or set time. Backend, function in line: 681
02.07.2023; 08:51:52; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
02.07.2023; 08:51:52; 	Error: Failed to set GUI-parameters. Backend, function in line: 668
02.07.2023; 08:51:46; 	Error: Failed to set get and/or set time. Backend, function in line: 681
02.07.2023; 08:49:19; 	Error: Camera disconnected. First: Check connection to camera. Second: Restart program/timer. Backend, function in line: 165
